iter	MultiClass
0	1.600471314
1	1.406884621
2	1.273401542
3	1.169406505
4	1.086840411
5	1.016110389
6	0.9547389792
7	0.9055451012
8	0.8570458069
9	0.8173754859
10	0.7824774995
11	0.7527744305
12	0.7266881613
13	0.7054851867
14	0.6818768124
15	0.661233168
16	0.6417645318
17	0.6235765131
18	0.6069201455
19	0.5937361662
20	0.5779785638
21	0.5653202701
22	0.5526125216
23	0.5422090943
24	0.5322000035
25	0.5227250817
26	0.5152961693
27	0.5065464875
28	0.4981535931
29	0.4912343634
30	0.4835520075
31	0.4766989585
32	0.4704865074
33	0.4656000798
34	0.4603436575
35	0.4547786972
36	0.4481265521
37	0.442462586
38	0.4378641624
39	0.4331854832
40	0.4283895299
41	0.4237452184
42	0.4186883021
43	0.4155323085
44	0.4120581368
45	0.4074281412
46	0.4049519335
47	0.4011162505
48	0.3984888346
49	0.3949674495
50	0.3906690562
51	0.3862710544
52	0.3828243094
53	0.3801584769
54	0.3766571919
55	0.3724845321
56	0.3694871938
57	0.3662862765
58	0.3621939445
59	0.3593743734
60	0.356171311
61	0.3535838301
62	0.3507969637
63	0.3483486646
64	0.3446838319
65	0.3423055214
66	0.3396877699
67	0.3368466768
68	0.3341818084
69	0.3319260261
70	0.3297271216
71	0.3276669893
72	0.3252816896
73	0.3232024454
74	0.3210074693
75	0.3187624119
76	0.3156545234
77	0.3133101709
78	0.3108196955
79	0.3086212249
80	0.3067919295
81	0.3043878071
82	0.3017335671
83	0.2993390128
84	0.2970404035
85	0.2950679738
86	0.2930113842
87	0.2912503422
88	0.2895389478
89	0.2881571793
90	0.2864316618
91	0.2843805673
92	0.2822979489
93	0.2807466799
94	0.2787726595
95	0.2768957893
96	0.2748987045
97	0.2731158032
98	0.2716208094
99	0.2700180129
100	0.268443583
101	0.266853801
102	0.2653279823
103	0.2634791172
104	0.2621279326
105	0.2604754645
106	0.2587448135
107	0.2568354073
108	0.2554580011
109	0.2543694424
110	0.2533641759
111	0.2520984766
112	0.2509779603
113	0.2497057298
114	0.2479194302
115	0.2467271419
116	0.2455389025
117	0.2442617072
118	0.243434955
119	0.2420580549
120	0.240514956
121	0.239819119
122	0.2384058268
123	0.2372330601
124	0.2358605222
125	0.2345049513
126	0.2334709808
127	0.232124062
128	0.2313304965
129	0.230481186
130	0.2293852043
131	0.2282751477
132	0.2273942411
133	0.225775273
134	0.225125589
135	0.2238189185
136	0.2226752173
137	0.2213141032
138	0.22051726
139	0.2193856574
140	0.2182156622
141	0.2173142459
142	0.2161743285
143	0.2150771417
144	0.2142918428
145	0.2135856425
146	0.2123536843
147	0.2115676383
148	0.2101289679
149	0.2090230085
150	0.2080238154
151	0.2067960508
152	0.2060695577
153	0.2049141676
154	0.2040027976
155	0.2030897647
156	0.2024227282
157	0.2013696819
158	0.2002873894
159	0.1992239558
160	0.1980532135
161	0.1973380357
162	0.1963957806
163	0.1955578818
164	0.1945666661
165	0.1936901217
166	0.1931313096
167	0.1925578442
168	0.1917550602
169	0.1909750032
170	0.1901574092
171	0.1893459731
172	0.1886755745
173	0.1876366272
174	0.186484081
175	0.1854350475
176	0.1845422231
177	0.1833598642
178	0.1827019016
179	0.1817314607
180	0.1808223803
181	0.1803506081
182	0.1795541505
183	0.1787843122
184	0.1777784673
185	0.1771169981
186	0.1763236977
187	0.1757609331
188	0.1753142136
189	0.1746728443
190	0.1737101157
191	0.1731673788
192	0.1726074098
193	0.1720242078
194	0.1715321788
195	0.1709281658
196	0.1703575684
197	0.1696193865
198	0.1687878261
199	0.168225423
200	0.1674480532
201	0.1664355565
202	0.1655037853
203	0.1646673566
204	0.1642262405
205	0.1635550466
206	0.1630320964
207	0.1621849791
208	0.1615028193
209	0.161135813
210	0.1605671317
211	0.1600663662
212	0.1592117415
213	0.1584310097
214	0.1578378299
215	0.1573080953
216	0.1568282976
217	0.1562006658
218	0.1554457097
219	0.1547378947
220	0.1539961217
221	0.1535526317
222	0.152925024
223	0.1523890715
224	0.151888294
225	0.1514198476
226	0.15109844
227	0.150612846
228	0.1499283485
229	0.1492848102
230	0.1486079767
231	0.1481406631
232	0.1475668724
233	0.1467272865
234	0.1463924788
235	0.1459119219
236	0.145313705
237	0.144706342
238	0.1442046125
239	0.1434278693
240	0.1428641768
241	0.1425478906
242	0.1421112452
243	0.1416239883
244	0.1410278682
245	0.1405251988
246	0.1400001639
247	0.1394897822
248	0.1389497808
249	0.1386265415
250	0.1382237577
251	0.1376183588
252	0.1372469782
253	0.1365600224
254	0.1362433506
255	0.1357885694
256	0.1352582203
257	0.1347064697
258	0.1343292929
259	0.1339098193
260	0.1334426021
261	0.1331022995
262	0.1327549956
263	0.132185784
264	0.1315982438
265	0.131131111
266	0.130603196
267	0.1301927723
268	0.1298243441
269	0.1295036113
270	0.1291782872
271	0.1289101302
272	0.1285769373
273	0.1282620007
274	0.1278626392
275	0.1272857636
276	0.1269453766
277	0.1265819373
278	0.1262827746
279	0.1259428455
280	0.1255046939
281	0.1252253782
282	0.12455363
283	0.1242964026
284	0.1238197861
285	0.1234576241
286	0.1231622092
287	0.1228076027
288	0.122494317
289	0.1221209361
290	0.1217203093
291	0.1214077467
292	0.1208727461
293	0.1205059326
294	0.1203315396
295	0.119965642
296	0.1195931769
297	0.1193210191
298	0.1188754685
299	0.1186299903
300	0.1182855182
301	0.1177539761
302	0.1174223498
303	0.1171173307
304	0.1166561628
305	0.1161754853
306	0.1157496852
307	0.1153691946
308	0.1150467506
309	0.1147198962
310	0.1142966268
311	0.1139898362
312	0.1136481478
313	0.1132119242
314	0.1129096887
315	0.112610044
316	0.1120189008
317	0.1116329513
318	0.1111642158
319	0.1108713675
320	0.110510748
321	0.1102667761
322	0.109605596
323	0.1092994923
324	0.108797787
325	0.108472704
326	0.1080285391
327	0.1076851516
328	0.1073681303
329	0.1070560256
330	0.1067311474
331	0.1062951528
332	0.1059831203
333	0.1056503974
334	0.1053137701
335	0.1049364969
336	0.1046584947
337	0.1041681529
338	0.1037991101
339	0.1033427744
340	0.1030147511
341	0.1025709116
342	0.1022812085
343	0.1020410566
344	0.1018285482
345	0.1015863115
346	0.101364681
347	0.1011469428
348	0.100825975
349	0.1005142016
350	0.1002990662
351	0.09991689458
352	0.09950442225
353	0.09918859393
354	0.09883751224
355	0.09847297028
356	0.09807733835
357	0.09779402798
358	0.09760898842
359	0.09730424043
360	0.09694186754
361	0.09673859576
362	0.09657385507
363	0.09629876908
364	0.09605754464
365	0.09574277074
366	0.09551918203
367	0.09525924336
368	0.09500984877
369	0.09463038242
370	0.09432509819
371	0.09405689296
372	0.09383525039
373	0.09352013305
374	0.09316059802
375	0.09297312429
376	0.09270581681
