iter	MultiClass
0	1.600471314
1	1.406884621
2	1.273401638
3	1.169406505
4	1.086840218
5	1.016110486
6	0.9547388828
7	0.9055450048
8	0.8570458069
9	0.8173754859
10	0.7824775477
11	0.7527744305
12	0.7266881131
13	0.7054851867
14	0.6818768606
15	0.6612330716
16	0.64176458
17	0.6235765613
18	0.6069200491
19	0.5937362144
20	0.577978612
21	0.5653201737
22	0.5526125698
23	0.5422090943
24	0.5322000517
25	0.5227250817
26	0.5152961211
27	0.5065465839
28	0.4981535449
29	0.4912343634
30	0.4835519593
31	0.4766990067
32	0.4704866038
33	0.465600128
34	0.4603436575
35	0.4547787454
36	0.4481265521
37	0.442462586
38	0.4378642106
39	0.4331854832
40	0.4283895299
41	0.4237451702
42	0.4186882539
43	0.4155322603
44	0.4120581368
45	0.4074281412
46	0.4049519335
47	0.4011162505
48	0.3984888105
49	0.3949674495
50	0.3906690803
51	0.3862710303
52	0.3828243576
53	0.3801584769
54	0.3766571919
55	0.3724845321
56	0.3694871938
57	0.3662863006
58	0.3621939204
59	0.3593743975
60	0.356171311
61	0.3535838783
62	0.3507970119
63	0.3483487128
64	0.3446838319
65	0.3423055214
66	0.3396877699
67	0.3368466527
68	0.3341818325
69	0.3319260261
70	0.3297271457
71	0.3276669893
72	0.3252817137
73	0.3232024695
74	0.3210074693
75	0.3187623396
76	0.3156544511
77	0.3133101468
78	0.3108196714
79	0.3086212249
80	0.3067919536
81	0.304387783
82	0.3017335671
83	0.2993390369
84	0.2970404035
85	0.2950679738
86	0.2930113842
87	0.2912503181
88	0.2895389478
89	0.2881571311
90	0.2864316136
91	0.2843805432
92	0.282297973
93	0.280746704
94	0.2787727077
95	0.2768957652
96	0.2748986563
97	0.2731158032
98	0.2716208094
99	0.270018037
100	0.268443583
101	0.2668537769
102	0.2653280305
103	0.2634790931
104	0.2621279808
105	0.2604754645
106	0.2587448376
107	0.2568354555
108	0.255457977
109	0.2543694906
110	0.2533641759
111	0.2520985007
112	0.2509779362
113	0.2497057298
114	0.2479194302
115	0.2467271419
116	0.2455389266
117	0.2442617072
118	0.2434349309
119	0.2420580308
120	0.240514956
121	0.2398191431
122	0.2384058509
123	0.2372330601
124	0.2358605222
125	0.2345049513
126	0.233471029
127	0.232124062
128	0.2313304724
129	0.2304811378
130	0.2293851802
131	0.2282751718
132	0.2273942411
133	0.2257752971
134	0.2251256131
135	0.2238189185
136	0.2226752173
137	0.2213141514
138	0.22051726
139	0.2193856815
140	0.2182156622
141	0.2173142459
142	0.2161743044
143	0.2150771658
144	0.2142918428
145	0.2135856425
146	0.2123536843
147	0.2115675901
148	0.210128992
149	0.2090230326
150	0.2080238154
151	0.2067960508
152	0.2060695818
153	0.2049141435
154	0.2040027976
155	0.2030897647
156	0.2024227764
157	0.2013696699
158	0.2002873774
159	0.1992239799
160	0.1980532496
161	0.1973380116
162	0.1963957686
163	0.1955578818
164	0.1945666661
165	0.1936901217
166	0.1931313096
167	0.1925578322
168	0.1917550602
169	0.1909750273
170	0.1901573972
171	0.1893459851
172	0.1886755865
173	0.1876366151
174	0.1864840689
175	0.1854350475
176	0.1845422231
177	0.1833598522
178	0.1827019016
179	0.1817314728
180	0.1808223924
181	0.1803506202
182	0.1795541626
183	0.1787843002
184	0.1777784794
185	0.1771170101
186	0.1763236977
187	0.175760921
188	0.1753142256
189	0.1746728564
190	0.1737101157
191	0.1731673788
192	0.1726074098
193	0.1720241596
194	0.1715321788
195	0.1709281778
196	0.1703575805
197	0.1696193624
198	0.1687878141
199	0.1682253989
200	0.1674480532
201	0.1664355565
202	0.1655037853
203	0.1646673686
204	0.1642262646
205	0.1635550587
206	0.1630320964
207	0.1621849911
208	0.1615028193
209	0.161135813
210	0.1605671437
211	0.1600663783
212	0.1592117295
213	0.1584310217
214	0.1578378299
215	0.1573080592
216	0.1568282976
217	0.1562006537
218	0.1554457217
219	0.1547379188
220	0.1539961458
221	0.1535526317
222	0.1529250481
223	0.1523890956
224	0.151888294
225	0.1514198356
226	0.15109844
227	0.1506128219
228	0.1499283485
229	0.1492847981
230	0.1486079887
231	0.148140639
232	0.1475668603
233	0.1467272865
234	0.1463924788
235	0.1459119098
236	0.145313693
237	0.1447063179
238	0.1442046125
239	0.1434278693
240	0.1428641768
241	0.1425478786
242	0.1421112573
243	0.1416240003
244	0.1410278561
245	0.1405251988
246	0.1400001518
247	0.1394897822
248	0.1389497808
249	0.1386265415
250	0.1382237215
251	0.1376183588
252	0.1372469662
253	0.1365600465
254	0.1362433627
255	0.1357885935
256	0.1352582685
257	0.1347064818
258	0.1343292688
259	0.1339098193
260	0.1334425901
261	0.1331022633
262	0.1327549956
263	0.1321857961
264	0.1315982679
265	0.1311310869
266	0.130603196
267	0.1301927843
268	0.12982432
269	0.1295036113
270	0.1291782752
271	0.1289101302
272	0.1285769494
273	0.1282620007
274	0.1278626392
275	0.1272857395
276	0.1269453646
277	0.1265819373
278	0.1262827867
279	0.1259428335
280	0.1255047059
281	0.1252253661
282	0.1245536179
283	0.1242963906
284	0.1238197861
285	0.1234576121
286	0.1231621971
287	0.1228076027
288	0.122494317
289	0.1221209241
290	0.1217203334
291	0.1214077467
292	0.1208727702
293	0.1205059206
294	0.1203315034
295	0.1199656299
296	0.1195931528
297	0.1193210191
298	0.1188754806
299	0.1186300144
300	0.1182855182
301	0.1177539641
302	0.1174223498
303	0.1171173307
304	0.1166561869
305	0.1161754853
306	0.1157496973
307	0.1153691946
308	0.1150467386
309	0.1147198842
310	0.1142966268
311	0.1139898483
312	0.1136481358
313	0.1132119362
314	0.1129096887
315	0.1126100561
316	0.1120189008
317	0.1116329513
318	0.1111642158
319	0.1108713675
320	0.1105107118
321	0.1102667761
322	0.109605596
323	0.1092995044
324	0.108797787
325	0.108472716
326	0.1080285271
327	0.1076851637
328	0.1073681303
329	0.1070560497
330	0.1067311233
331	0.1062951407
332	0.1059831444
333	0.1056503853
334	0.1053137822
335	0.1049364849
336	0.1046584706
337	0.1041681529
338	0.1037990981
339	0.1033427624
340	0.1030147511
341	0.1025709116
342	0.1022811965
343	0.1020410686
344	0.1018285362
345	0.1015863115
346	0.101364681
347	0.1011469307
348	0.100825987
349	0.1005141956
350	0.1002990723
351	0.09991688855
352	0.09950442225
353	0.09918858791
354	0.09883751827
355	0.09847297028
356	0.09807733835
357	0.09779401593
358	0.0976089824
359	0.09730423441
360	0.09694186754
361	0.09673859576
362	0.09657387315
363	0.09629875703
364	0.09605755067
365	0.09574277676
366	0.095519176
367	0.09525923734
368	0.09500984275
369	0.0946303764
370	0.09432510421
371	0.09405689296
372	0.09383524436
373	0.09352013907
374	0.09316060404
375	0.09297313031
376	0.09270582284
