iter	Passed	Remaining
0	35	25082
1	71	24802
2	111	25947
3	150	26123
4	188	26173
5	227	26309
6	261	25842
7	304	26344
8	350	26901
9	397	27423
10	435	27302
11	477	27381
12	516	27313
13	564	27639
14	607	27725
15	645	27575
16	683	27472
17	720	27315
18	764	27386
19	800	27229
20	838	27122
21	880	27140
22	920	27084
23	954	26892
24	991	26768
25	1026	26606
26	1064	26532
27	1105	26533
28	1147	26561
29	1194	26676
30	1244	26849
31	1282	26780
32	1325	26785
33	1364	26724
34	1398	26564
35	1438	26531
36	1477	26468
37	1516	26423
38	1554	26353
39	1593	26295
40	1632	26239
41	1674	26241
42	1714	26193
43	1754	26157
44	1788	26035
45	1826	25972
46	1867	25949
47	1907	25909
48	1949	25896
49	1994	25922
50	2031	25856
51	2075	25864
52	2113	25799
53	2153	25763
54	2191	25697
55	2230	25648
56	2268	25594
57	2306	25528
58	2350	25535
59	2385	25446
60	2431	25469
61	2467	25390
62	2502	25300
63	2539	25240
64	2585	25257
65	2622	25194
66	2673	25257
67	2723	25308
68	2772	25351
69	2814	25326
70	2856	25308
71	2895	25257
72	2939	25245
73	2978	25196
74	3012	25104
75	3051	25057
76	3097	25062
77	3137	25022
78	3180	24997
79	3218	24940
80	3263	24942
81	3301	24883
82	3346	24876
83	3385	24824
84	3432	24834
85	3473	24797
86	3515	24768
87	3557	24737
88	3598	24703
89	3634	24634
90	3676	24603
91	3717	24570
92	3763	24565
93	3799	24493
94	3839	24452
95	3880	24412
96	3919	24364
97	3958	24314
98	3997	24264
99	4033	24199
100	4076	24177
101	4122	24170
102	4161	24120
103	4205	24100
104	4243	24045
105	4283	24003
106	4326	23977
107	4370	23955
108	4407	23895
109	4443	23834
110	4481	23777
111	4521	23737
112	4558	23682
113	4595	23622
114	4637	23592
115	4675	23536
116	4711	23479
117	4751	23436
118	4787	23372
119	4831	23353
120	4870	23306
121	4905	23241
122	4945	23200
123	4982	23144
124	5022	23103
125	5066	23080
126	5103	23024
127	5144	22988
128	5184	22946
129	5217	22878
130	5258	22841
131	5296	22791
132	5333	22738
133	5376	22710
134	5410	22645
135	5454	22620
136	5501	22610
137	5539	22560
138	5574	22497
139	5610	22440
140	5650	22400
141	5684	22339
142	5723	22292
143	5757	22230
144	5794	22180
145	5828	22115
146	5872	22092
147	5915	22061
148	5956	22026
149	5996	21987
150	6042	21970
151	6084	21934
152	6123	21891
153	6167	21867
154	6205	21819
155	6248	21788
156	6285	21737
157	6328	21709
158	6370	21674
159	6416	21654
160	6456	21616
161	6492	21561
162	6531	21518
163	6569	21470
164	6614	21446
165	6655	21411
166	6692	21361
167	6729	21309
168	6770	21272
169	6811	21235
170	6851	21195
171	6889	21149
172	6925	21096
173	6973	21082
174	7016	21049
175	7058	21015
176	7098	20975
177	7147	20961
178	7190	20928
179	7233	20895
180	7272	20852
181	7307	20797
182	7347	20756
183	7385	20711
184	7425	20671
185	7464	20628
186	7507	20595
187	7543	20545
188	7582	20501
189	7619	20451
190	7663	20421
191	7699	20370
192	7737	20325
193	7774	20278
194	7809	20225
195	7847	20178
196	7890	20145
197	7926	20095
198	7967	20059
199	8004	20010
200	8041	19962
201	8088	19941
202	8133	19913
203	8175	19878
204	8210	19825
205	8251	19788
206	8286	19735
207	8325	19694
208	8365	19652
209	8400	19601
210	8440	19560
211	8475	19510
212	8516	19472
213	8558	19436
214	8596	19391
215	8632	19343
216	8670	19299
217	8710	19259
218	8754	19227
219	8796	19192
220	8843	19168
221	8883	19126
222	8923	19086
223	8959	19038
224	8999	18998
225	9038	18957
226	9075	18910
227	9114	18867
228	9156	18833
229	9201	18802
230	9242	18764
231	9276	18712
232	9319	18679
233	9362	18644
234	9396	18593
235	9433	18547
236	9472	18506
237	9511	18464
238	9550	18422
239	9593	18386
240	9637	18355
241	9670	18301
242	9709	18259
243	9751	18224
244	9797	18194
245	9835	18151
246	9871	18105
247	9911	18064
248	9951	18023
249	9988	17980
250	10024	17932
251	10065	17894
252	10100	17846
253	10142	17808
254	10179	17763
255	10216	17718
256	10261	17687
257	10300	17646
258	10341	17609
259	10382	17570
260	10419	17525
261	10457	17482
262	10496	17440
263	10541	17409
264	10582	17370
265	10623	17332
266	10663	17293
267	10701	17249
268	10739	17206
269	10776	17162
270	10814	17118
271	10847	17068
272	10882	17020
273	10920	16978
274	10958	16936
275	11005	16906
276	11048	16871
277	11085	16827
278	11119	16778
279	11154	16732
280	11193	16690
281	11226	16640
282	11266	16601
283	11302	16556
284	11344	16519
285	11379	16472
286	11415	16427
287	11454	16386
288	11490	16341
289	11527	16297
290	11565	16255
291	11601	16210
292	11642	16172
293	11681	16132
294	11714	16082
295	11752	16041
296	11794	16003
297	11832	15962
298	11872	15923
299	11908	15877
300	11948	15838
301	11987	15797
302	12028	15759
303	12065	15717
304	12100	15670
305	12145	15637
306	12182	15594
307	12221	15554
308	12258	15511
309	12297	15470
310	12337	15432
311	12374	15388
312	12417	15353
313	12460	15317
314	12498	15275
315	12532	15229
316	12573	15190
317	12607	15144
318	12650	15109
319	12686	15065
320	12727	15027
321	12764	14984
322	12806	14947
323	12841	14902
324	12887	14870
325	12923	14826
326	12967	14792
327	13011	14756
328	13053	14720
329	13090	14677
330	13135	14643
331	13177	14606
332	13217	14567
333	13258	14528
334	13297	14488
335	13340	14452
336	13379	14411
337	13423	14376
338	13462	14336
339	13503	14297
340	13542	14257
341	13583	14219
342	13623	14179
343	13658	14134
344	13693	14090
345	13731	14048
346	13764	14002
347	13800	13959
348	13843	13922
349	13881	13881
350	13918	13839
351	13960	13801
352	14009	13771
353	14052	13735
354	14090	13694
355	14129	13653
356	14170	13614
357	14216	13581
358	14252	13538
359	14289	13495
360	14327	13454
361	14367	13414
362	14408	13376
363	14445	13333
364	14484	13294
365	14525	13255
366	14560	13211
367	14601	13173
368	14643	13135
369	14685	13098
370	14726	13059
371	14764	13018
372	14805	12979
373	14845	12940
374	14887	12902
375	14925	12861
376	14962	12819
377	14997	12775
378	15040	12738
379	15076	12696
380	15111	12652
381	15151	12612
382	15191	12573
383	15226	12529
384	15271	12494
385	15308	12452
386	15342	12408
387	15385	12372
388	15426	12332
389	15465	12292
390	15502	12251
391	15536	12207
392	15577	12168
393	15616	12128
394	15653	12086
395	15692	12046
396	15733	12008
397	15767	11964
398	15803	11921
399	15843	11882
400	15886	11845
401	15922	11802
402	15960	11762
403	16003	11725
404	16040	11683
405	16084	11647
406	16120	11605
407	16156	11563
408	16191	11519
409	16237	11485
410	16277	11445
411	16312	11402
412	16347	11360
413	16381	11316
414	16415	11273
415	16456	11235
416	16492	11192
417	16536	11156
418	16580	11119
419	16624	11083
420	16661	11041
421	16700	11001
422	16733	10958
423	16770	10916
424	16807	10875
425	16843	10833
426	16878	10790
427	16914	10749
428	16959	10713
429	16997	10672
430	17030	10629
431	17066	10587
432	17109	10550
433	17153	10513
434	17191	10472
435	17230	10433
436	17268	10392
437	17307	10352
438	17345	10312
439	17385	10273
440	17422	10232
441	17461	10192
442	17503	10154
443	17543	10115
444	17580	10074
445	17624	10037
446	17662	9997
447	17701	9957
448	17742	9918
449	17776	9875
450	17815	9836
451	17853	9795
452	17894	9757
453	17932	9716
454	17970	9676
455	18012	9638
456	18051	9598
457	18094	9561
458	18137	9522
459	18179	9484
460	18214	9443
461	18254	9403
462	18288	9361
463	18329	9322
464	18369	9283
465	18408	9243
466	18452	9206
467	18493	9167
468	18532	9127
469	18570	9087
470	18610	9048
471	18647	9007
472	18685	8967
473	18731	8931
474	18771	8891
475	18813	8853
476	18855	8815
477	18892	8774
478	18931	8734
479	18965	8692
480	19007	8654
481	19042	8612
482	19083	8573
483	19122	8534
484	19159	8493
485	19198	8453
486	19237	8414
487	19273	8373
488	19310	8332
489	19351	8293
490	19391	8254
491	19435	8216
492	19477	8178
493	19515	8138
494	19549	8096
495	19586	8055
496	19623	8015
497	19667	7977
498	19706	7938
499	19748	7899
500	19792	7861
501	19828	7820
502	19867	7781
503	19908	7742
504	19954	7705
505	19996	7666
506	20033	7626
507	20067	7584
508	20107	7545
509	20146	7505
510	20184	7465
511	20220	7424
512	20270	7388
513	20309	7349
514	20346	7309
515	20382	7268
516	20424	7229
517	20460	7188
518	20499	7149
519	20541	7110
520	20582	7071
521	20623	7032
522	20659	6991
523	20706	6954
524	20750	6916
525	20790	6877
526	20829	6837
527	20876	6800
528	20913	6760
529	20960	6723
530	21001	6684
531	21035	6642
532	21076	6603
533	21111	6562
534	21149	6522
535	21188	6483
536	21229	6444
537	21273	6405
538	21315	6366
539	21357	6328
540	21394	6287
541	21435	6248
542	21473	6208
543	21514	6169
544	21550	6129
545	21586	6088
546	21628	6049
547	21664	6009
548	21706	5970
549	21741	5929
550	21774	5888
551	21812	5848
552	21848	5807
553	21885	5767
554	21924	5727
555	21969	5689
556	22008	5650
557	22057	5613
558	22093	5572
559	22131	5532
560	22170	5493
561	22210	5453
562	22254	5415
563	22293	5375
564	22332	5336
565	22374	5297
566	22417	5258
567	22453	5217
568	22490	5177
569	22528	5137
570	22571	5099
571	22606	5058
572	22645	5019
573	22686	4979
574	22723	4939
575	22767	4901
576	22809	4862
577	22853	4823
578	22893	4784
579	22933	4744
580	22968	4704
581	23010	4665
582	23052	4626
583	23090	4586
584	23129	4546
585	23169	4507
586	23212	4468
587	23256	4429
588	23296	4390
589	23330	4349
590	23364	4309
591	23400	4269
592	23444	4230
593	23480	4190
594	23523	4151
595	23559	4111
596	23600	4071
597	23637	4031
598	23685	3993
599	23723	3953
600	23758	3913
601	23797	3874
602	23841	3835
603	23884	3796
604	23921	3756
605	23957	3716
606	23998	3676
607	24036	3637
608	24073	3597
609	24109	3557
610	24150	3517
611	24199	3479
612	24240	3440
613	24275	3400
614	24314	3360
615	24357	3321
616	24394	3281
617	24433	3242
618	24474	3202
619	24511	3162
620	24551	3123
621	24593	3084
622	24631	3044
623	24672	3005
624	24709	2965
625	24747	2925
626	24791	2886
627	24836	2847
628	24876	2808
629	24919	2768
630	24955	2728
631	24991	2689
632	25035	2649
633	25076	2610
634	25110	2570
635	25149	2530
636	25191	2491
637	25227	2451
638	25272	2412
639	25311	2372
640	25347	2333
641	25390	2293
642	25427	2254
643	25470	2214
644	25511	2175
645	25548	2135
646	25587	2096
647	25626	2056
648	25661	2016
649	25702	1977
650	25743	1937
651	25784	1898
652	25821	1858
653	25857	1818
654	25898	1779
655	25942	1740
656	25989	1700
657	26031	1661
658	26068	1621
659	26108	1582
660	26148	1542
661	26183	1502
662	26221	1463
663	26269	1424
664	26308	1384
665	26346	1345
666	26389	1305
667	26424	1265
668	26465	1226
669	26503	1186
670	26547	1147
671	26584	1107
672	26629	1068
673	26663	1028
674	26708	989
675	26748	949
676	26788	910
677	26832	870
678	26875	831
679	26916	791
680	26957	752
681	26997	712
682	27035	672
683	27077	633
684	27115	593
685	27157	554
686	27198	514
687	27240	475
688	27276	435
689	27313	395
690	27351	356
691	27397	316
692	27442	277
693	27481	237
694	27521	197
695	27562	158
696	27610	118
697	27648	79
698	27687	39
699	27721	0
