iter	MultiClass
0	1.564720033
1	1.369668305
2	1.228200357
3	1.124042652
4	1.043150644
5	0.9742025547
6	0.9157475063
7	0.8649481718
8	0.82091938
9	0.7820009908
10	0.7488602734
11	0.7169317013
12	0.6914945734
13	0.6684580404
14	0.6455141501
15	0.6248357056
16	0.6063013228
17	0.5898589684
18	0.5760847627
19	0.5619740158
20	0.5490595096
21	0.5368459389
22	0.5259333616
23	0.516410424
24	0.5071203646
25	0.4964453077
26	0.4888573298
27	0.4802302608
28	0.4727777552
29	0.464753812
30	0.458256999
31	0.4520917216
32	0.4466891011
33	0.4404106342
34	0.4335823261
35	0.4286026728
36	0.4226295027
37	0.4174380025
38	0.4118153809
39	0.4073722072
40	0.4032810756
41	0.3985395078
42	0.3951039794
43	0.3906551946
44	0.3857311673
45	0.3824646965
46	0.3789993367
47	0.3753131685
48	0.3707548273
49	0.3678251398
50	0.3641707405
51	0.3613292553
52	0.3574562275
53	0.3545703787
54	0.3508383938
55	0.3472337672
56	0.3450312942
57	0.3413200984
58	0.3386126523
59	0.3359534652
60	0.3338967581
61	0.3310077607
62	0.3285984059
63	0.3245299405
64	0.3226018835
65	0.3202466612
66	0.3180382542
67	0.3163663672
68	0.3146959537
69	0.3116325701
70	0.3092127603
71	0.3074478876
72	0.3050309237
73	0.3024183606
74	0.3004377456
75	0.2982387845
76	0.2966315456
77	0.2945067996
78	0.2921284469
79	0.2903588512
80	0.2887345571
81	0.2872864658
82	0.2858923049
83	0.2836868448
84	0.2814410174
85	0.2791114484
86	0.2777574529
87	0.2760610025
88	0.2736829929
89	0.2720956752
90	0.2705644678
91	0.268785507
92	0.2666271149
93	0.2646276484
94	0.2623346924
95	0.2610855506
96	0.2597414451
97	0.2581456704
98	0.2572599946
99	0.2560262327
100	0.2544557077
101	0.2527438371
102	0.2513496157
103	0.24966358
104	0.2483099882
105	0.246473383
106	0.24483821
107	0.2432945696
108	0.2418636948
109	0.2403896069
110	0.2390237839
111	0.2376731994
112	0.2363462902
113	0.2352546409
114	0.2341525769
115	0.23302381
116	0.2320536659
117	0.23066665
118	0.2293700163
119	0.2282572953
120	0.2268963365
121	0.2253965953
122	0.2241290864
123	0.223088542
124	0.2217735008
125	0.2207617987
126	0.2197869114
127	0.2182345315
128	0.2171051994
129	0.2159063147
130	0.2144667812
131	0.2134635966
132	0.2119370718
133	0.2108807841
134	0.2097829183
135	0.2086996048
136	0.2077543672
137	0.2063575624
138	0.2048615753
139	0.2039878078
140	0.203036172
141	0.2018487718
142	0.2008031007
143	0.199553192
144	0.198610114
145	0.1974560773
146	0.1965953686
147	0.1957954326
148	0.1951789856
149	0.1940923216
150	0.1930912966
151	0.1924130273
152	0.1918160575
153	0.1907270926
154	0.1894883655
155	0.1886680442
156	0.187952415
157	0.1868355564
158	0.1857649788
159	0.1846073292
160	0.1839097442
161	0.1829762534
162	0.1823472926
163	0.1817846147
164	0.1810484992
165	0.1800723606
166	0.1791539672
167	0.178543656
168	0.1773239822
169	0.1762285182
170	0.1756043813
171	0.1748939393
172	0.1743451073
173	0.1735706834
174	0.1726965728
175	0.1719789858
176	0.1713406194
177	0.1707964499
178	0.1695805706
179	0.1687690493
180	0.168245366
181	0.1676138217
182	0.1668436565
183	0.1662609867
184	0.1652482452
185	0.1646560588
186	0.1637185616
187	0.1630994201
188	0.1621187503
189	0.1614839766
190	0.1609458621
191	0.1602626881
192	0.159561904
193	0.1590754292
194	0.1585114696
195	0.157796446
196	0.1568747021
197	0.1560866139
198	0.1551324854
199	0.1542793657
200	0.1534247121
201	0.152687214
202	0.1520269182
203	0.1511399405
204	0.1504166517
205	0.1499574651
206	0.1494078056
207	0.1488786526
208	0.1480879506
209	0.1473387057
210	0.146694698
211	0.1461873938
212	0.1457679587
213	0.1454010212
214	0.1448203697
215	0.144525205
216	0.1438969405
217	0.1433125753
218	0.142795149
219	0.142289964
220	0.1416148736
221	0.1408348487
222	0.1401339839
223	0.1396418677
224	0.1392702173
225	0.1386692612
226	0.1378971382
227	0.1373401319
228	0.1369247537
229	0.1364239688
230	0.136044255
231	0.1356268282
232	0.1347052559
233	0.1340876382
234	0.1336404911
235	0.1330576801
236	0.1325120976
237	0.1321667666
238	0.1317797262
239	0.1314600082
240	0.1310956945
241	0.1307399992
242	0.1303332697
243	0.1298325655
244	0.1294259975
245	0.128908117
246	0.1283836365
247	0.127977351
248	0.1276046107
249	0.1270076913
250	0.1264822925
251	0.1258607491
252	0.1254529196
253	0.1249772228
254	0.1246149477
255	0.124116393
256	0.1236917203
257	0.1231801169
258	0.1225972049
259	0.1220218719
260	0.1216445095
261	0.1211183639
262	0.120852869
263	0.1203473409
264	0.1199473326
265	0.1194709293
266	0.1189679444
267	0.1184895026
268	0.117994914
269	0.1176401169
270	0.1171503117
271	0.1167834045
272	0.1164985838
273	0.1160001603
274	0.1156103649
275	0.1153559104
276	0.1149716049
277	0.1144203408
278	0.1141209274
279	0.1138152168
280	0.1133950955
281	0.1129211446
282	0.1124249817
283	0.1120456009
284	0.1115706711
285	0.1112866578
286	0.1108189537
287	0.1103847948
288	0.1100025984
289	0.1096601335
290	0.1092433223
291	0.1087878596
292	0.1085696952
293	0.108333739
294	0.1078977433
295	0.1076433293
296	0.1072475595
297	0.106784427
298	0.1064509841
299	0.1060468179
300	0.105714798
301	0.1054127406
302	0.1050284956
303	0.1045304253
304	0.1040813002
305	0.1038817956
306	0.1034681229
307	0.1031798913
308	0.1030009436
309	0.1025754939
310	0.1021618212
311	0.1018099608
312	0.1014196305
313	0.1011645403
314	0.1009350933
315	0.100723196
316	0.100462747
317	0.1002249844
318	0.09993156554
319	0.09932886356
320	0.09884873648
321	0.0985720801
322	0.09823747665
323	0.09787407123
324	0.09760285433
325	0.09732804475
326	0.0970862656
327	0.09665263141
328	0.09639828798
329	0.09619956042
330	0.09587130471
331	0.09556626012
332	0.09528945237
333	0.09497640499
334	0.09445149053
335	0.09428908333
336	0.09387855933
337	0.09354528801
338	0.09315820724
339	0.09283174787
340	0.0925560704
341	0.09225439647
342	0.09204807988
343	0.09185494317
344	0.09157189869
345	0.09140985479
346	0.09115175722
347	0.09087417239
348	0.09048314574
349	0.09013205231
350	0.08978281576
351	0.08952892647
352	0.08926785181
353	0.08903430757
354	0.08880246884
355	0.08851831426
356	0.08829187464
357	0.08813481608
358	0.08781092003
359	0.08749799375
360	0.08721543368
361	0.08690664503
362	0.08674903143
363	0.08647184019
364	0.08622513625
365	0.08596342581
366	0.08575927896
367	0.08546986656
368	0.08523657461
369	0.08492507127
370	0.08462527946
371	0.08440357289
372	0.08408526264
373	0.08385836889
374	0.08361590855
375	0.08330707449
376	0.08315718111
377	0.08292914698
378	0.08260273303
379	0.08232020323
380	0.08199311312
381	0.08178061531
382	0.08156469638
383	0.08131458646
384	0.08113283329
385	0.08096322055
386	0.08079013623
387	0.08058187192
388	0.08038771594
389	0.08020592745
390	0.07998660759
391	0.07977387766
392	0.0795938401
393	0.07939144922
394	0.07919979095
395	0.07899617392
396	0.07878354996
397	0.0785302914
398	0.07829573293
399	0.07811441876
400	0.07789212686
401	0.07771476867
402	0.0773935873
403	0.07714256408
404	0.07695435721
405	0.07673482542
406	0.0765030876
407	0.07628073516
408	0.07608574156
409	0.07589824111
410	0.07560955027
411	0.07548987172
412	0.07526347751
413	0.07492854608
414	0.07469616744
415	0.07441957161
416	0.07419231455
417	0.074017116
418	0.07386605197
419	0.0737416
420	0.07350520482
421	0.07335404492
422	0.07318117253
423	0.07306478389
424	0.07285184204
425	0.07268433344
426	0.07256138514
427	0.07246322733
428	0.07227648377
429	0.07205759785
430	0.0718932177
431	0.07170785672
432	0.07145601101
433	0.07131667364
434	0.07114246913
435	0.07089896429
436	0.07070965237
437	0.07049381418
438	0.07029593432
439	0.07005082489
440	0.06988663648
441	0.0697244513
442	0.06951787232
443	0.0692978864
444	0.06918026152
445	0.06900482581
446	0.06882993506
447	0.06868039994
448	0.06851168032
449	0.06828581593
450	0.06812026009
451	0.06790143977
452	0.06772740682
453	0.06752423887
454	0.06742250352
455	0.06726124173
456	0.06713759205
457	0.06702308554
458	0.06690922994
459	0.06673968784
460	0.06653422401
461	0.06637407232
462	0.06624348454
463	0.06602902387
464	0.06587016393
465	0.06573329905
466	0.06556999873
467	0.06548570704
468	0.06534610224
469	0.06524417514
470	0.06511786627
471	0.06499152713
472	0.06475792738
473	0.0646361245
474	0.0644576108
475	0.064259297
476	0.06408657094
477	0.06393578444
478	0.06373503347
479	0.06360509156
480	0.06337024043
481	0.06319319003
482	0.06305459946
483	0.06288351836
484	0.06275777968
485	0.0626301387
486	0.06248504901
487	0.0623098656
488	0.06222532161
489	0.06209852834
490	0.06197934428
491	0.06179107686
492	0.06164390322
493	0.06151301268
494	0.0613711675
495	0.06121153049
496	0.06100921025
497	0.06090975565
498	0.06072776532
499	0.06059212155
500	0.06048604673
501	0.0603307946
502	0.06019084668
503	0.06002703672
504	0.05993640738
505	0.05982427748
506	0.0596769121
507	0.05956029135
508	0.05940152728
509	0.05928130881
510	0.05915714446
511	0.05902213142
512	0.05881375106
513	0.0587117836
514	0.05855622872
515	0.05844775205
516	0.05833393682
517	0.05823380102
518	0.05814280333
519	0.05797979567
520	0.05781302881
521	0.05766474507
522	0.05756300972
523	0.05735322155
524	0.05717609547
525	0.05702598007
526	0.05688464452
527	0.05666214575
528	0.05653228457
529	0.0563631411
530	0.05624231712
531	0.05613412807
532	0.05603422942
533	0.05594768221
534	0.05586646347
535	0.0557975214
536	0.05568764702
537	0.05552973066
538	0.05542675906
539	0.05527170373
540	0.0551849446
541	0.05507100322
542	0.05491747175
543	0.05478880141
544	0.05463328689
545	0.0545249616
546	0.05441549089
547	0.05425241258
548	0.05410246874
549	0.05402015504
550	0.0539460056
551	0.05387902638
552	0.05382468208
553	0.05366875381
554	0.05355722942
555	0.05342550126
556	0.05332866043
557	0.05316753993
558	0.05307171837
559	0.05296017379
560	0.05282862224
561	0.05272310247
562	0.05258424951
563	0.05248267058
564	0.05230615
565	0.05220428346
566	0.05209840542
567	0.05196863507
568	0.05188514568
569	0.05181357974
570	0.05168228553
571	0.05163250777
572	0.05155946843
573	0.05147322902
574	0.05135611378
575	0.05118915013
576	0.0510918703
577	0.05103941822
578	0.05094288518
579	0.05085868936
580	0.0507941019
581	0.05065193378
582	0.05053796718
583	0.05043842174
584	0.05034396257
585	0.05025878281
586	0.05016522685
587	0.05005680064
588	0.04993584043
589	0.04980889578
590	0.0497101476
591	0.0495820979
592	0.04948915754
593	0.04939328552
594	0.04931728928
595	0.0492322508
596	0.04914249945
597	0.04904298429
598	0.04892794291
599	0.04876514717
600	0.04864102318
601	0.04849628166
602	0.04839190226
603	0.04830718167
604	0.04821174864
605	0.0480897742
606	0.0479777654
607	0.04790297009
608	0.04779594159
609	0.04767688368
610	0.04757043546
611	0.04746727716
612	0.04738080565
613	0.04722873244
614	0.04712115394
615	0.0470021919
616	0.04691442863
617	0.04685878754
618	0.04677058528
619	0.04670316202
620	0.04659777344
621	0.04651364826
622	0.04638329259
623	0.04630788167
624	0.04621764087
625	0.04613573084
626	0.04605341715
627	0.04596345891
628	0.04587263279
629	0.04580549714
630	0.04572539355
631	0.04562444536
632	0.0454823832
633	0.0453832263
634	0.04528070379
635	0.04517748999
636	0.04507739456
637	0.04497563902
638	0.0448923111
639	0.04478354681
640	0.0446457434
641	0.04457136689
642	0.04447540909
643	0.04442393591
644	0.04435928284
645	0.04425779978
646	0.04419469076
647	0.04412139408
648	0.04406045984
649	0.04397717229
650	0.04391621786
651	0.04383809226
652	0.04375606113
653	0.04364605051
654	0.04353114032
655	0.04343409765
656	0.04332658475
657	0.04327402165
658	0.04323281182
659	0.04311655943
660	0.04304646689
661	0.04297879638
662	0.04287968994
663	0.04279672532
664	0.04271035472
665	0.04261470472
666	0.04254145345
667	0.04249773076
668	0.0423944009
669	0.04230440735
670	0.04223080035
671	0.04217622646
672	0.04209565612
673	0.04197474384
674	0.04192798857
675	0.04182166145
676	0.04171597768
677	0.04166079577
678	0.04158601559
679	0.04151953591
680	0.04146822167
681	0.04135277662
682	0.04126642873
683	0.04114771646
684	0.04106094976
685	0.04100209695
686	0.04089149848
687	0.04078907184
688	0.04072578117
689	0.04065738658
690	0.0405857172
691	0.04053521535
692	0.04047162949
693	0.04038823092
694	0.04029608277
695	0.04022256659
696	0.04015703807
697	0.04010404355
698	0.04002577918
699	0.03995162722
