iter	Passed	Remaining
0	176	176430
1	342	170679
2	510	169812
3	679	169126
4	850	169241
5	1019	168938
6	1189	168809
7	1375	170505
8	1554	171164
9	1742	172535
10	1925	173139
11	2109	173719
12	2333	177140
13	2528	178073
14	2763	181466
15	2960	182043
16	3201	185121
17	3408	185971
18	3591	185440
19	3788	185630
20	3975	185316
21	4169	185348
22	4356	185055
23	4562	185553
24	4762	185718
25	4941	185130
26	5121	184557
27	5294	183800
28	5513	184594
29	5696	184197
30	5859	183154
31	6050	183017
32	6245	183017
33	6409	182099
34	6610	182263
35	6817	182556
36	6999	182188
37	7192	182087
38	7367	181551
39	7544	181059
40	7728	180773
41	7910	180424
42	8110	180509
43	8307	180492
44	8511	180634
45	8717	180795
46	8925	180974
47	9125	180985
48	9334	181171
49	9540	181265
50	9722	180911
51	9910	180683
52	10101	180493
53	10298	180412
54	10497	180359
55	10709	180525
56	10920	180670
57	11123	180667
58	11337	180828
59	11535	180723
60	11723	180467
61	11923	180386
62	12113	180159
63	12328	180309
64	12577	180921
65	12779	180853
66	12987	180856
67	13172	180542
68	13358	180242
69	13544	179945
70	13742	179813
71	13946	179756
72	14160	179819
73	14361	179718
74	14559	179563
75	14742	179242
76	14944	179141
77	15131	178858
78	15313	178523
79	15499	178240
80	15690	178017
81	15881	177796
82	16063	177467
83	16243	177130
84	16429	176855
85	16629	176738
86	16829	176615
87	17035	176548
88	17221	176281
89	17409	176032
90	17583	175646
91	17751	175198
92	17951	175077
93	18135	174794
94	18329	174615
95	18518	174380
96	18688	173974
97	18871	173693
98	19057	173441
99	19249	173246
100	19434	172985
101	19605	172602
102	19799	172428
103	19993	172249
104	20169	171922
105	20346	171605
106	20525	171298
107	20714	171084
108	20899	170838
109	21073	170501
110	21260	170272
111	21424	169869
112	21605	169593
113	21784	169306
114	21950	168924
115	22133	168673
116	22311	168386
117	22493	168131
118	22665	167803
119	22843	167516
120	23024	167258
121	23200	166968
122	23368	166621
123	23540	166299
124	23722	166055
125	23907	165837
126	24092	165613
127	24274	165370
128	24493	165381
129	24683	165186
130	24869	164975
131	25038	164648
132	25232	164488
133	25402	164171
134	25587	163946
135	25766	163693
136	25947	163450
137	26123	163179
138	26320	163036
139	26484	162693
140	26670	162484
141	26846	162211
142	27040	162052
143	27214	161772
144	27398	161559
145	27574	161294
146	27770	161142
147	27942	160860
148	28147	160759
149	28329	160531
150	28500	160247
151	28674	159975
152	28855	159742
153	29023	159443
154	29189	159130
155	29355	158822
156	29544	158634
157	29716	158362
158	29908	158196
159	30093	157992
160	30262	157705
161	30459	157560
162	30635	157313
163	30818	157098
164	31009	156925
165	31175	156630
166	31345	156352
167	31522	156109
168	31693	155843
169	31876	155631
170	32049	155374
171	32221	155111
172	32407	154916
173	32573	154629
174	32757	154428
175	32935	154200
176	33127	154033
177	33313	153841
178	33505	153675
179	33683	153445
180	33863	153229
181	34055	153061
182	34244	152884
183	34455	152804
184	34639	152600
185	34844	152491
186	35032	152309
187	35215	152102
188	35400	151905
189	35580	151683
190	35773	151524
191	35953	151304
192	36141	151119
193	36320	150899
194	36514	150740
195	36694	150523
196	36882	150339
197	37059	150109
198	37236	149882
199	37409	149639
200	37585	149407
201	37758	149163
202	37947	148985
203	38122	148753
204	38299	148525
205	38476	148303
206	38661	148109
207	38862	147975
208	39042	147763
209	39230	147580
210	39407	147356
211	39574	147099
212	39772	146952
213	39950	146733
214	40137	146548
215	40335	146402
216	40521	146213
217	40701	146004
218	40890	145824
219	41066	145598
220	41236	145353
221	41437	145218
222	41618	145012
223	41820	144879
224	41997	144656
225	42183	144469
226	42390	144350
227	42587	144199
228	42774	144015
229	42977	143879
230	43162	143687
231	43370	143570
232	43566	143415
233	43748	143209
234	43927	142997
235	44134	142874
236	44331	142722
237	44516	142526
238	44734	142438
239	44931	142282
240	45132	142137
241	45320	141954
242	45506	141762
243	45698	141591
244	45875	141372
245	46061	141181
246	46243	140976
247	46410	140728
248	46615	140596
249	46791	140373
250	46990	140222
251	47179	140039
252	47355	139821
253	47549	139652
254	47740	139475
255	47923	139277
256	48276	139568
257	48458	139364
258	48627	139122
259	48800	138892
260	48983	138694
261	49166	138492
262	49373	138358
263	49552	138145
264	49739	137956
265	49944	137816
266	50161	137709
267	50365	137566
268	50553	137379
269	50738	137181
270	50952	137063
271	51158	136923
272	51344	136730
273	51548	136585
274	51744	136418
275	51924	136206
276	52102	135991
277	52326	135899
278	52523	135733
279	52727	135584
280	52923	135416
281	53110	135224
282	53298	135034
283	53494	134866
284	53677	134663
285	53866	134477
286	54052	134284
287	54251	134121
288	54432	133915
289	54607	133694
290	54788	133488
291	54972	133289
292	55172	133128
293	55374	132973
294	55561	132782
295	55768	132637
296	55956	132449
297	56166	132311
298	56384	132193
299	56579	132019
300	56785	131871
301	56965	131662
302	57156	131478
303	57351	131303
304	57531	131096
305	57713	130892
306	57913	130730
307	58122	130587
308	58310	130397
309	58498	130206
310	58689	130021
311	58893	129867
312	59086	129687
313	59283	129517
314	59477	129339
315	59665	129150
316	59870	128995
317	60058	128803
318	60255	128632
319	60456	128469
320	60641	128273
321	60825	128074
322	61010	127875
323	61203	127696
324	61373	127468
325	61549	127253
326	61734	127056
327	61906	126833
328	62100	126654
329	62278	126443
330	62446	126213
331	62630	126015
332	62822	125832
333	62995	125613
334	63198	125453
335	63383	125257
336	63571	125068
337	63745	124850
338	63926	124646
339	64114	124457
340	64300	124263
341	64490	124077
342	64662	123857
343	64845	123658
344	65020	123445
345	65198	123236
346	65362	123002
347	65559	122830
348	65726	122601
349	65892	122371
350	66073	122170
351	66258	121976
352	66447	121789
353	66658	121642
354	66834	121432
355	67012	121224
356	67186	121010
357	67352	120782
358	67527	120572
359	67713	120380
360	67896	120182
361	68068	119966
362	68252	119771
363	68436	119575
364	68622	119385
365	68800	119178
366	68979	118976
367	69151	118760
368	69340	118574
369	69514	118363
370	69700	118172
371	69871	117955
372	70048	117748
373	70216	117527
374	70399	117331
375	70566	117109
376	70752	116920
377	70926	116709
378	71127	116543
379	71312	116352
380	71491	116150
381	71669	115947
382	71845	115740
383	72042	115567
384	72211	115350
385	72392	115152
386	72566	114943
387	72738	114732
388	72933	114556
389	73109	114350
390	73275	114129
391	73446	113917
392	73621	113709
393	73803	113514
394	74003	113347
395	74190	113159
396	74373	112965
397	74535	112739
398	74728	112561
399	74894	112342
400	75061	112123
401	75231	111911
402	75423	111731
403	75595	111522
404	75762	111304
405	75936	111099
406	76102	110881
407	76278	110678
408	76448	110467
409	76626	110267
410	76810	110077
411	77006	109901
412	77200	109725
413	77383	109533
414	77546	109312
415	77730	109121
416	77933	108956
417	78119	108769
418	78302	108576
419	78473	108368
420	78645	108160
421	78813	107948
422	78997	107757
423	79174	107558
424	79359	107368
425	79549	107186
426	79727	106987
427	79911	106797
428	80090	106601
429	80276	106413
430	80444	106202
431	80628	106012
432	80804	105811
433	80993	105627
434	81175	105434
435	81342	105222
436	81528	105035
437	81705	104836
438	81887	104644
439	82064	104445
440	82248	104255
441	82427	104059
442	82609	103867
443	82784	103667
444	82979	103491
445	83169	103308
446	83356	103123
447	83525	102914
448	83702	102716
449	83892	102534
450	84058	102324
451	84234	102124
452	84401	101914
453	84589	101730
454	84753	101518
455	84934	101325
456	85112	101129
457	85279	100920
458	85452	100718
459	85631	100523
460	85832	100355
461	86020	100171
462	86199	99976
463	86383	99788
464	86556	99586
465	86731	99388
466	86899	99180
467	87061	98967
468	87243	98777
469	87418	98577
470	87594	98380
471	87763	98175
472	87938	97978
473	88110	97776
474	88275	97567
475	88456	97376
476	88626	97173
477	88803	96978
478	88990	96793
479	89162	96592
480	89629	96710
481	90246	96986
482	90842	97237
483	91448	97494
484	92107	97804
485	92710	98051
486	93323	98306
487	94067	98694
488	94734	98996
489	94910	98784
490	95082	98568
491	95255	98352
492	95414	98123
493	95596	97918
494	95766	97701
495	95953	97500
496	96132	97293
497	96324	97098
498	96507	96894
499	96689	96689
500	96857	96471
501	97053	96279
502	97225	96065
503	97395	95849
504	97571	95639
505	97742	95424
506	97909	95206
507	98082	94993
508	98262	94787
509	98433	94573
510	98603	94357
511	98785	94155
512	99268	94237
513	99439	94022
514	99619	93816
515	99805	93616
516	99999	93422
517	100182	93219
518	100383	93033
519	100571	92835
520	100769	92646
521	100953	92443
522	101121	92227
523	101303	92023
524	101497	91831
525	101675	91624
526	101871	91433
527	102044	91221
528	102240	91030
529	102410	90817
530	102582	90604
531	102778	90414
532	102977	90225
533	103156	90020
534	103322	89804
535	103501	89598
536	103689	89401
537	103865	89193
538	104039	88983
539	104211	88772
540	104384	88563
541	104556	88352
542	104747	88157
543	104922	87949
544	105096	87741
545	105271	87533
546	105433	87315
547	105604	87104
548	105799	86913
549	105986	86716
550	106153	86502
551	106329	86296
552	106506	86091
553	106689	85890
554	106878	85695
555	107051	85487
556	107227	85281
557	107419	85088
558	107599	84886
559	108083	84922
560	108694	85056
561	109403	85264
562	110052	85422
563	110636	85527
564	111309	85698
565	111933	85829
566	112571	85967
567	113178	86079
568	113350	85859
569	113533	85648
570	113715	85436
571	113872	85205
572	114050	84990
573	114233	84779
574	114400	84556
575	114594	84354
576	114748	84122
577	114927	83909
578	115109	83697
579	115298	83491
580	115482	83282
581	115659	83067
582	115848	82862
